feature,all_n,none_n,all_median,none_median,all_mean,none_mean,median_diff,u_statistic,p_value,cliffs_delta,effect_size,pval_adj,reject,significant,abs_delta,practically_significant
repair_difficulty,41,320,-0.6545677804703322,0.0684006013983548,-0.8838016576482084,0.4682924876194723,-0.722968381868687,1935.5,1.65189625197918e-14,-0.7049542682926829,large,5.946826507125048e-13,True,True,0.7049542682926829,True
txt_title_digit_density,41,320,0.5325447979627962,-0.6450552541976357,0.7134336020374987,-0.3093699221302173,1.177600052160432,10799.0,1.2779441916757345e-15,0.646189024390244,large,4.728393509200218e-14,True,True,0.646189024390244,True
coleman_liau,41,300,19.2,29.325,19.613170731707317,34.62083333333333,-10.125,2250.0,4.5121788074650646e-11,-0.6341463414634146,large,1.39877543031417e-09,True,True,0.6341463414634146,True
txt_description_line_count,41,320,0.4716731437772135,-0.5846077381764743,0.36936166502335893,-0.22659529557176888,1.0562808819536877,10709.5,8.806277798272903e-12,0.6325457317073171,large,2.994134451412787e-10,True,True,0.6325457317073171,True
reasoning_composite,41,320,0.7333182500071839,-0.054401396762969095,0.7205098004662057,-0.4285682289787915,0.7877196467701529,10699.0,1.2920217793989163e-11,0.6309451219512195,large,4.263671872016424e-10,True,True,0.6309451219512195,True
ari,41,300,19.8,29.0,19.882926829268293,35.18466666666667,-9.2,2338.0,1.213153900208409e-10,-0.6198373983739838,large,3.6394617006252272e-09,True,True,0.6198373983739838,True
actionability,41,320,0.8491089986580442,-0.163033776330488,0.7133337483547044,-0.4635136626552085,1.0121427749885323,10610.0,1.3742012636234446e-11,0.6173780487804879,large,4.3974440435950227e-10,True,True,0.6173780487804879,True
txt_title_avg_sentence_len,41,320,0.5768488434935564,-0.70287777031615,0.6436096492275316,-0.28090124989795984,1.2797266138097063,10521.0,9.012756276374736e-13,0.603810975609756,large,3.1544646967311576e-11,True,True,0.603810975609756,True
clarity,41,320,0.7623879238337528,0.2638805499878769,0.6529594759163654,-0.4573973065453746,0.49850737384587585,10330.0,2.049691356582065e-10,0.5746951219512195,large,5.944104934087989e-09,True,True,0.5746951219512195,True
flesch,41,300,33.61,8.37,33.699999999999996,-7.891233333333333,25.240000000000002,9666.0,2.8915738208650103e-09,0.5717073170731707,large,7.807249316335528e-08,True,True,0.5717073170731707,True
technical_completeness,41,320,0.6863970062505214,-0.1100015582041131,0.6475482957893196,-0.45261885728720086,0.7963985644546344,10197.5,1.9364504238947874e-09,0.5544969512195121,large,5.422061186905405e-08,True,True,0.5544969512195121,True
kincaid,41,300,12.1,15.45,12.197560975609756,17.490666666666666,-3.3499999999999996,2845.0,2.3842089783596338e-08,-0.5373983739837398,large,5.722101548063121e-07,True,True,0.5373983739837398,True
expected_observed_alignment,41,320,0.7027131095927159,0.2181834262649555,0.6199885295123666,-0.4556156646127113,0.4845296833277605,9985.0,3.78439651225946e-09,0.5221036585365854,large,9.839430931874597e-08,True,True,0.5221036585365854,True
embedding_cluster_distance,41,320,0.5186335150842991,-0.1981856717624665,0.5069860479702827,-0.3301261951677147,0.7168191868467656,9841.0,1.839067480197961e-07,0.5001524390243902,large,4.22985520445531e-06,True,True,0.5001524390243902,True
ambiguity_type_count,41,320,-0.6117211791839219,-0.2197125954398122,-0.6021599942145534,0.4589522651671773,-0.3920085837441097,3323.0,5.9051905470795455e-09,-0.49344512195121953,large,1.4762976367698864e-07,True,True,0.49344512195121953,True
description_length,41,320,0.1375011504958648,-0.43736082568935697,0.30973658057551773,-0.22726918700853888,0.5748619761852218,9683.5,3.3538751453060216e-07,0.4761432926829268,large,7.378525319673248e-06,True,True,0.4761432926829268,True
num_versions,41,320,-0.0494572680454745,-0.3124943305803233,0.043568034558313457,-0.11768250614045091,0.26303706253484876,9433.5,1.2424960094491087e-06,0.43803353658536587,medium,2.6092416198431283e-05,True,True,0.43803353658536587,True
embedding_cluster_size,41,320,-0.3447299154714549,0.2995890088008781,-0.417131606439339,0.2791664000404605,-0.644318924272333,4179.5,0.0001101810868146979,-0.3628810975609756,medium,0.002203621736293958,True,True,0.3628810975609756,True
concept_network_concept_breadth,41,320,0.410786675927473,0.410786675927473,0.3943504847156545,-0.34522675671864056,0.0,8611.0,0.0005718417109910155,0.3126524390243902,small,0.010864992508829295,True,True,0.3126524390243902,True
num_causal_markers,41,320,-0.1531279935599871,-0.4554019288379759,0.22287129178580384,-0.0388306617829976,0.30227393527798885,8368.5,0.003352709215486943,0.2756859756097561,small,0.060348765878764976,False,False,0.2756859756097561,False
num_temporal_markers,41,320,-0.4635308650875505,-0.4635308650875505,0.21227776235498505,-0.008943968034407468,0.0,7600.0,0.03914492135363667,0.15853658536585366,small,0.58717382030455,False,False,0.15853658536585366,False
semantic_coherence,41,320,-0.2834875088432844,-0.1068341717163521,-0.12580460910165192,0.2525694345560986,-0.1766533371269323,5671.0,0.157783759505148,-0.13551829268292684,negligible,1.0,False,False,0.13551829268292684,False
ambiguity,41,320,-0.5855868655187282,-0.5855868655187282,-0.25590666753926933,-0.0009601357290740742,0.0,5696.0,0.12292588491230859,-0.13170731707317074,negligible,1.0,False,False,0.13170731707317074,False
semantic_entropy,41,320,0.3726801993164663,0.36691841085388194,0.24684384283661825,-0.12189468260346883,0.00576178846258435,7338.0,0.2164238249167214,0.11859756097560975,negligible,1.0,False,False,0.11859756097560975,False
num_EB,41,320,0.2959479588785432,-0.673136533919824,0.0832220946057309,-0.022032890320921046,0.9690844927983672,7290.0,0.1951492919415767,0.11128048780487805,negligible,1.0,False,False,0.11128048780487805,False
txt_reasoning_digit_density,41,320,-0.2000607604811334,-0.2000607604811334,0.23464939102035517,0.0034380649672055897,0.0,7212.0,0.01068541709328701,0.09939024390243903,negligible,0.18165209058587917,False,False,0.09939024390243903,False
txt_reasoning_avg_sentence_len,41,320,0.1027051892145295,-0.0140365238068689,-0.13742207415468846,0.0751979230838625,0.1167417130213984,6022.0,0.39244451729074303,-0.08201219512195122,negligible,1.0,False,False,0.08201219512195122,False
num_env_mentions,41,320,-0.2192296649910203,-0.2192296649910203,-0.21922966499102034,0.07199701498000548,0.0,6088.5,0.07686057291832402,-0.071875,negligible,1.0,False,False,0.071875,False
num_exception_types,41,320,-0.5251530779927517,-0.5251530779927517,0.09873304819985676,-0.07599220321301363,0.0,7031.0,0.31552992328157803,0.07179878048780487,negligible,1.0,False,False,0.07179878048780487,False
exception_user_frames,41,320,-0.2073567129463963,-0.2073567129463963,-0.20012555460567458,-0.006307913704517648,0.0,6159.0,0.16982964413016177,-0.061128048780487804,negligible,1.0,False,False,0.061128048780487804,False
txt_likely_impacted_code_concepts_digit_density,41,320,-0.1486940122073022,-0.1486940122073022,0.16462452838736133,-0.1217876121603213,0.0,6840.0,0.014272749866169202,0.042682926829268296,negligible,0.22836399785870723,False,False,0.042682926829268296,False
txt_root_cause_guess_digit_density,41,320,-0.1710687069843892,-0.1710687069843892,0.11515592699221198,-0.10200266455101303,0.0,6780.5,0.14317728117721515,0.03361280487804878,negligible,1.0,False,False,0.03361280487804878,False
smog,41,300,12.1,12.149999999999999,12.148780487804878,12.284333333333334,-0.049999999999998934,5955.0,0.7424715192557946,-0.03170731707317073,negligible,1.0,False,False,0.03170731707317073,False
fog,41,300,11.0,10.719999999999999,10.82878048780488,11.280666666666667,0.28000000000000114,5961.5,0.7508413122851592,-0.03065040650406504,negligible,1.0,False,False,0.03065040650406504,False
lix,41,300,51.58,51.53,51.008780487804884,52.3125,0.04999999999999716,6099.5,0.9326991633159276,-0.008211382113821138,negligible,1.0,False,False,0.008211382113821138,False
stacktrace_depth,41,320,-0.2020454871191189,-0.2020454871191189,-0.15957592357861267,0.01077421462275121,0.0,6590.0,0.9135304335531254,0.004573170731707317,negligible,1.0,False,False,0.004573170731707317,False
num_OB,41,320,-0.0777818550633016,-0.0777818550633016,-0.0314933976036317,0.07707553647278158,0.0,6542.0,0.9777118303567504,-0.00274390243902439,negligible,1.0,False,False,0.00274390243902439,False
