,,auc,auc,spearman,spearman,f1_opt,f1_opt
,,mean,std,mean,std,mean,std
thresh,task,,,,,,
1,all_vs_notall_top1,0.807,0.055,0.246,0.05,0.319,0.068
1,any_vs_none_top1,0.713,0.036,0.355,0.061,0.805,0.016
1,tool_BRaIn,0.712,0.041,0.321,0.061,0.523,0.039
1,tool_FlexFL,0.68,0.021,0.311,0.037,0.732,0.026
1,tool_boostnsift,0.744,0.039,0.378,0.061,0.599,0.04
1,tool_buglocator,0.718,0.029,0.332,0.044,0.551,0.051
1,tool_locus,0.699,0.052,0.287,0.075,0.502,0.052
5,all_vs_notall_top5,0.792,0.026,0.438,0.04,0.599,0.05
5,any_vs_none_top5,0.666,0.048,0.221,0.063,0.902,0.003
5,tool_BRaIn,0.726,0.027,0.39,0.047,0.746,0.017
5,tool_FlexFL,0.642,0.043,0.227,0.068,0.824,0.002
5,tool_boostnsift,0.751,0.013,0.435,0.023,0.744,0.011
5,tool_buglocator,0.743,0.045,0.421,0.077,0.739,0.021
5,tool_locus,0.705,0.031,0.354,0.053,0.713,0.023
