thresh,task,fold,auc,spearman,f1_opt
1,tool_FlexFL,1,0.675,0.303,0.718
1,tool_FlexFL,2,0.714,0.371,0.775
1,tool_FlexFL,3,0.657,0.271,0.736
1,tool_FlexFL,4,0.67,0.293,0.712
1,tool_FlexFL,5,0.683,0.317,0.719
1,tool_BRaIn,1,0.713,0.32,0.508
1,tool_BRaIn,2,0.711,0.319,0.529
1,tool_BRaIn,3,0.697,0.298,0.515
1,tool_BRaIn,4,0.776,0.417,0.586
1,tool_BRaIn,5,0.664,0.249,0.479
1,tool_boostnsift,1,0.759,0.401,0.614
1,tool_boostnsift,2,0.776,0.428,0.628
1,tool_boostnsift,3,0.694,0.301,0.534
1,tool_boostnsift,4,0.711,0.327,0.59
1,tool_boostnsift,5,0.78,0.434,0.629
1,tool_buglocator,1,0.687,0.283,0.542
1,tool_buglocator,2,0.766,0.403,0.641
1,tool_buglocator,3,0.716,0.327,0.526
1,tool_buglocator,4,0.717,0.332,0.531
1,tool_buglocator,5,0.706,0.315,0.516
1,tool_locus,1,0.733,0.336,0.518
1,tool_locus,2,0.614,0.164,0.432
1,tool_locus,3,0.7,0.288,0.5
1,tool_locus,4,0.701,0.29,0.484
1,tool_locus,5,0.749,0.359,0.574
5,tool_FlexFL,1,0.682,0.289,0.824
5,tool_FlexFL,2,0.608,0.172,0.826
5,tool_FlexFL,3,0.671,0.273,0.823
5,tool_FlexFL,4,0.665,0.263,0.826
5,tool_FlexFL,5,0.586,0.136,0.82
5,tool_BRaIn,1,0.751,0.434,0.749
5,tool_BRaIn,2,0.749,0.43,0.772
5,tool_BRaIn,3,0.684,0.319,0.725
5,tool_BRaIn,4,0.721,0.382,0.746
5,tool_BRaIn,5,0.723,0.387,0.737
5,tool_boostnsift,1,0.769,0.466,0.749
5,tool_boostnsift,2,0.754,0.44,0.738
5,tool_boostnsift,3,0.749,0.431,0.737
5,tool_boostnsift,4,0.753,0.437,0.761
5,tool_boostnsift,5,0.732,0.402,0.735
5,tool_buglocator,1,0.707,0.359,0.736
5,tool_buglocator,2,0.739,0.415,0.738
5,tool_buglocator,3,0.722,0.385,0.732
5,tool_buglocator,4,0.726,0.392,0.714
5,tool_buglocator,5,0.821,0.555,0.773
5,tool_locus,1,0.74,0.414,0.749
5,tool_locus,2,0.663,0.282,0.69
5,tool_locus,3,0.686,0.322,0.708
5,tool_locus,4,0.71,0.363,0.72
5,tool_locus,5,0.726,0.391,0.696
1,any_vs_none_top1,1,0.718,0.364,0.81
1,any_vs_none_top1,2,0.752,0.421,0.823
1,any_vs_none_top1,3,0.707,0.346,0.81
1,any_vs_none_top1,4,0.731,0.386,0.803
1,any_vs_none_top1,5,0.655,0.258,0.779
1,all_vs_notall_top1,1,0.799,0.234,0.381
1,all_vs_notall_top1,2,0.756,0.2,0.226
1,all_vs_notall_top1,3,0.752,0.197,0.267
1,all_vs_notall_top1,4,0.866,0.301,0.364
1,all_vs_notall_top1,5,0.86,0.296,0.356
5,any_vs_none_top5,1,0.731,0.307,0.903
5,any_vs_none_top5,2,0.657,0.209,0.901
5,any_vs_none_top5,3,0.69,0.252,0.907
5,any_vs_none_top5,4,0.65,0.2,0.901
5,any_vs_none_top5,5,0.602,0.137,0.9
5,all_vs_notall_top5,1,0.782,0.421,0.552
5,all_vs_notall_top5,2,0.792,0.435,0.62
5,all_vs_notall_top5,3,0.834,0.502,0.672
5,all_vs_notall_top5,4,0.762,0.393,0.556
5,all_vs_notall_top5,5,0.792,0.438,0.595
